iter	Passed	Remaining
796	7145	1820
797	7155	1811
798	7167	1803
799	7188	1797
800	7198	1788
801	7207	1779
802	7220	1771
803	7229	1762
804	7239	1753
805	7250	1745
806	7260	1736
807	7271	1727
808	7282	1719
809	7292	1710
810	7304	1702
811	7321	1695
812	7333	1686
813	7344	1678
814	7360	1670
815	7370	1661
816	7380	1653
817	7396	1645
818	7407	1637
819	7418	1628
820	7432	1620
821	7443	1611
822	7453	1603
823	7472	1595
824	7485	1587
825	7497	1579
826	7528	1574
827	7537	1565
828	7568	1561
829	7578	1552
830	7590	1543
831	7614	1537
832	7625	1528
833	7636	1519
834	7656	1512
835	7668	1504
836	7677	1495
837	7705	1489
838	7715	1480
839	7725	1471
840	7739	1463
841	7751	1454
842	7764	1446
843	7787	1439
844	7798	1430
845	7810	1421
846	7828	1414
847	7839	1405
848	7852	1396
849	7862	1387
850	7875	1378
851	7890	1370
852	7899	1361
853	7911	1352
854	7928	1344
855	7937	1335
856	7947	1326
857	7957	1316
858	7968	1307
859	7978	1298
860	7991	1290
861	8001	1280
862	8010	1271
863	8021	1262
864	8039	1254
865	8049	1245
866	8058	1236
867	8077	1228
868	8087	1219
869	8096	1209
870	8108	1200
871	8119	1191
872	8130	1182
873	8145	1174
874	8154	1164
875	8164	1155
876	8175	1146
877	8184	1137
878	8197	1128
879	8216	1120
880	8226	1111
881	8236	1101
882	8247	1092
883	8255	1083
884	8264	1073
885	8273	1064
886	8287	1055
887	8296	1046
888	8304	1036
889	8316	1027
890	8324	1018
891	8332	1008
892	8340	999
893	8350	990
894	8358	980
895	8366	971
896	8376	961
897	8387	952
898	8399	943
899	8409	934
900	8418	925
901	8427	915
902	8437	906
903	8446	896
904	8454	887
905	8464	878
906	8472	868
907	8481	859
908	8491	850
909	8499	840
910	8507	831
911	8515	821
912	8524	812
913	8532	802
914	8542	793
915	8551	784
916	8561	774
917	8577	766
918	8586	756
919	8596	747
920	8605	738
921	8614	728
922	8624	719
923	8634	710
924	8648	701
925	8657	691
926	8665	682
927	8676	673
928	8686	663
929	8694	654
930	8702	645
931	8715	635
932	8723	626
933	8731	617
934	8743	607
935	8753	598
936	8764	589
937	8775	580
938	8788	570
939	8799	561
940	8810	552
941	8819	543
942	8832	533
943	8851	525
944	8861	515
945	8872	506
946	8887	497
947	8897	488
948	8908	478
949	8922	469
950	8932	460
951	8962	451
952	8975	442
953	8985	433
954	9010	424
955	9020	415
956	9030	405
957	9046	396
958	9057	387
959	9067	377
960	9086	368
961	9096	359
962	9107	349
963	9127	340
964	9137	331
965	9148	322
966	9160	312
967	9170	303
968	9180	293
969	9189	284
970	9199	274
971	9209	265
972	9217	255
973	9236	246
974	9247	237
975	9257	227
976	9269	218
977	9279	208
978	9289	199
979	9314	190
980	9323	180
981	9333	171
982	9343	161
983	9354	152
984	9364	142
985	9373	133
986	9383	123
987	9393	114
988	9401	104
989	9419	95
990	9428	85
991	9438	76
992	9451	66
993	9462	57
994	9474	47
995	9487	38
996	9497	28
997	9506	19
998	9516	9
999	9524	0
